ms since epoch, total memory
1626187525988, 29560K
1626187526265, 29560K
1626187526558, 29560K
1626187526835, 29560K
1626187527126, 29560K
1626187527404, 29560K
1626187527680, 29560K
1626187527969, 13932K
1626187528260, 13932K
1626187528537, 13932K
1626187528828, 13932K
1626187529122, 13932K
1626187529416, 13932K
1626187529690, 13932K
1626187529981, 13932K
1626187530272, 13932K
1626187530565, 13932K
1626187530857, 6116K
1626187531147, 6116K
1626187531442, 6116K
1626187531731, 6116K
1626187532023, 6116K
1626187532314, 6116K
1626187532606, 6116K
1626187532898, 6116K
1626187533174, 6116K
1626187533464, 6116K
1626187533755, 2208K
1626187534045, 2208K
1626187534335, 2208K
1626187534625, 2208K
1626187534917, 2208K
1626187535209, 2208K
1626187535498, 2208K
1626187535790, 2208K
1626187536082, 2208K
1626187536377, 2208K
1626187536666, 2208K
1626187536955, 6116K
1626187537247, 6116K
1626187537536, 6116K
1626187537828, 6116K
1626187538120, 6116K
1626187538397, 6116K
1626187538682, 6116K
1626187538972, 6116K
1626187539263, 6116K
1626187539554, 6116K
1626187539847, 13932K
1626187540141, 13932K
1626187540432, 13932K
1626187540709, 13932K
1626187540999, 13932K
1626187541292, 13932K
1626187541586, 13932K
1626187541880, 13932K
1626187542173, 13932K
1626187542467, 13932K
1626187542757, 29560K
1626187543051, 29560K
1626187543343, 29560K
1626187543619, 29560K
1626187543912, 29560K
1626187544189, 29560K
1626187544481, 29560K
1626187544760, 29560K
1626187545052, 29560K
1626187545345, 29560K
1626187545634, 29560K
1626187545930, 13932K
1626187546223, 13932K
1626187546517, 13932K
1626187546808, 13932K
1626187547083, 13932K
1626187547355, 13932K
1626187547651, 13932K
1626187547943, 13932K
1626187548234, 13932K
1626187548527, 13932K
1626187548821, 6116K
1626187549099, 6116K
1626187549389, 6116K
1626187549662, 6116K
1626187549936, 6116K
1626187550229, 6116K
1626187550521, 6116K
1626187550813, 6116K
1626187551105, 6116K
1626187551399, 6116K
1626187551673, 6116K
1626187551949, 2208K
1626187552221, 2208K
1626187552511, 2208K
1626187552804, 2208K
1626187553096, 2208K
1626187553392, 2208K
1626187553668, 2208K
1626187553959, 2208K
1626187554252, 2208K
1626187554546, 2208K
1626187554824, 6116K
1626187555116, 6116K
1626187555407, 6116K
1626187555681, 6116K
1626187555964, 6116K
1626187556241, 6116K
1626187556530, 6116K
1626187556819, 6116K
1626187557112, 6116K
1626187557389, 6116K
1626187557667, 6116K
1626187557958, 13932K
1626187558252, 13932K
1626187558546, 13932K
1626187558838, 13932K
1626187559114, 13932K
1626187559405, 13932K
1626187559679, 13932K
1626187559971, 13932K
1626187560263, 13932K
1626187560557, 13932K
1626187560850, 29560K
1626187561144, 29560K
1626187561422, 29560K
1626187561694, 29560K
1626187561986, 29560K
1626187562280, 29560K
1626187562573, 29560K
1626187562866, 29560K
1626187563161, 29560K
1626187563454, 29560K
1626187563740, 13932K
1626187564017, 13932K
1626187564307, 13932K
1626187564600, 13932K
1626187564890, 13932K
1626187565184, 13932K
1626187565477, 13932K
1626187565771, 13932K
1626187566065, 13932K
1626187566358, 13932K
1626187566652, 13932K
1626187566941, 6116K
1626187567233, 6116K
1626187567525, 6116K
1626187567816, 6116K
1626187568107, 6116K
1626187568402, 6116K
1626187568676, 6116K
1626187568966, 6116K
1626187569241, 6116K
1626187569513, 6116K
1626187569805, 2208K
1626187570098, 2208K
1626187570391, 2208K
1626187570664, 2208K
1626187570957, 2208K
1626187571248, 2208K
1626187571540, 2208K
1626187571832, 2208K
1626187572110, 2208K
1626187572400, 2208K
